filename	acq_time	operator	randstr
func/sub-emmet_ses-20180521_task-rest_acq-p2_bold.nii.gz	2018-05-21T10:48:59	n/a	jw@\WPeh
func/sub-emmet_ses-20180521_task-rest_acq-p2Xs4X35mm_bold.nii.gz	2018-05-21T10:55:19	n/a	zG_6-C,=
dwi/sub-emmet_ses-20180521_acq-DTIX30Xp2X2mm_dwi.nii.gz	2018-05-21T11:02:40	n/a	7Cs}Mf@K
dwi/sub-emmet_ses-20180521_acq-DTIX30Xp2Xs4X2mm_dwi.nii.gz	2018-05-21T11:06:59	n/a	"]V6m.""OC"
anat/sub-emmet_ses-20180521_acq-MPRAGE_T1w.nii.gz	2018-05-21T11:14:10	n/a	T>rp9B^M
func/sub-emmet_ses-20180521_task-rest_acq-3mm_bold.nii.gz	2018-05-21T11:14:37	n/a	Du!)TE~7
fmap/sub-emmet_ses-20180521_acq-topupXb0X3mm_dir-AP_epi.nii.gz	2018-05-21T11:16:16	n/a	=.&gTBe<
fmap/sub-emmet_ses-20180521_acq-topupXb0X3mm_dir-PA_epi.nii.gz	2018-05-21T11:17:01	n/a	H|=X@5IB
fmap/sub-emmet_ses-20180521_acq-3mm_dir-AP_magnitude1.nii.gz	2018-05-21T11:18:32	n/a	]2A8/fZ=
fmap/sub-emmet_ses-20180521_acq-3mm_dir-AP_magnitude2.nii.gz	2018-05-21T11:18:32	n/a	$j^Fp,A+
fmap/sub-emmet_ses-20180521_acq-3mm_dir-AP_phasediff.nii.gz	2018-05-21T11:18:32	n/a	[UPK?rIe
fmap/sub-emmet_ses-20180521_acq-3mm_dir-RL_magnitude1.nii.gz	2018-05-21T11:20:03	n/a	koZ_^:lL
fmap/sub-emmet_ses-20180521_acq-3mm_dir-RL_magnitude2.nii.gz	2018-05-21T11:20:03	n/a	'hrDLQgX
fmap/sub-emmet_ses-20180521_acq-3mm_dir-RL_phasediff.nii.gz	2018-05-21T11:20:03	n/a	>p<H.m3I
fmap/sub-emmet_ses-20180521_acq-3mm_dir-PA_magnitude1.nii.gz	2018-05-21T11:21:31	n/a	-7vXY!\h
fmap/sub-emmet_ses-20180521_acq-3mm_dir-PA_magnitude2.nii.gz	2018-05-21T11:21:31	n/a	'M)Fs@S2
fmap/sub-emmet_ses-20180521_acq-3mm_dir-PA_phasediff.nii.gz	2018-05-21T11:21:32	n/a	U3H~46M*
fmap/sub-emmet_ses-20180521_acq-3mm_dir-LR_magnitude1.nii.gz	2018-05-21T11:23:02	n/a	&(Dhtu^q
fmap/sub-emmet_ses-20180521_acq-3mm_dir-LR_magnitude2.nii.gz	2018-05-21T11:23:02	n/a	D3Z(m`J:
fmap/sub-emmet_ses-20180521_acq-3mm_dir-LR_phasediff.nii.gz	2018-05-21T11:23:02	n/a	UTdSIt{~
